city,locality,property_type,bedrooms,area_sqft,price_per_sqft,price_lakhs,floor,age_years,facing,parking,furnishing,availability,maintenance_monthly,timestamp
Bangalore,Indiranagar,Builder Floor,4 BHK,1909,10559,201,6 out of 20,2,North West,Yes,Unfurnished,Ready to Move,4732,2025-10-02 17:38:24
Bangalore,JP Nagar,Apartment,3 BHK,1416,10431,147,14 out of 21,13,North West,Yes,Unfurnished,Ready to Move,4672,2025-10-02 17:38:24
Bangalore,Koramangala,Apartment,2 BHK,1006,14684,147,12 out of 24,0,North West,Yes,Unfurnished,Under Construction,4541,2025-10-02 17:38:24
Bangalore,HSR Layout,Apartment,1 BHK,362,11766,42,6 out of 22,12,South,Yes,Unfurnished,Ready to Move,5615,2025-10-02 17:38:24
Mumbai,Powai,Apartment,1 BHK,465,13578,63,10 out of 23,9,East,Yes,Semi-Furnished,Ready to Move,2783,2025-10-02 17:38:24
Delhi,Dwarka,Apartment,3 BHK,1582,12842,203,9 out of 21,11,North East,Yes,Semi-Furnished,Ready to Move,6031,2025-10-02 17:38:24
Bangalore,Indiranagar,Apartment,5 BHK,2392,12443,297,7 out of 21,8,North West,Yes,Fully Furnished,Under Construction,3357,2025-10-02 17:38:24
Bangalore,Whitefield,Apartment,3 BHK,1501,12281,184,6 out of 21,14,West,Yes,Semi-Furnished,Ready to Move,3322,2025-10-02 17:38:24
Bangalore,HSR Layout,Builder Floor,2 BHK,1134,14037,159,3 out of 24,14,North,Yes,Fully Furnished,Ready to Move,3771,2025-10-02 17:38:24
Mumbai,Worli,Villa,3 BHK,1411,9648,136,16 out of 23,3,South East,No,Fully Furnished,Ready to Move,4191,2025-10-02 17:38:24
Bangalore,Whitefield,Apartment,3 BHK,1682,7115,119,10 out of 23,18,West,Yes,Unfurnished,Under Construction,4860,2025-10-02 17:38:24
Bangalore,HSR Layout,Apartment,2 BHK,985,12210,120,5 out of 23,9,South,Yes,Unfurnished,Ready to Move,7719,2025-10-02 17:38:24
Mumbai,Andheri,Apartment,3 BHK,1557,11610,180,6 out of 22,10,South West,Yes,Fully Furnished,Under Construction,5546,2025-10-02 17:38:24
Bangalore,Indiranagar,Apartment,1 BHK,335,9672,32,8 out of 20,12,South,Yes,Semi-Furnished,Under Construction,4791,2025-10-02 17:38:24
Mumbai,Powai,Builder Floor,5 BHK,2567,10511,269,3 out of 21,19,South West,Yes,Unfurnished,Ready to Move,4683,2025-10-02 17:38:24
